,customerEmail,transactionId,orderId,paymentMethodId,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,transactionAmount,transactionFailed,orderState
0,josephhoward@yahoo.com,a9lcj51r,vjbdvd,wt07xm68b,1,card,JCB 16 digit,18,0,pending
1,josephhoward@yahoo.com,y4wcv03i,yp6x27,wt07xm68b,1,card,JCB 16 digit,26,0,fulfilled
2,evansjeffery@yahoo.com,5mi94sfw,nlghpa,41ug157xz,0,bitcoin,American Express,45,0,fulfilled
3,evansjeffery@yahoo.com,br8ba1nu,uw0eeb,41ug157xz,0,bitcoin,American Express,23,0,fulfilled
4,evansjeffery@yahoo.com,a33145ss,bn44oh,y3xp697jx,1,bitcoin,VISA 16 digit,43,1,fulfilled
5,andersonwilliam@yahoo.com,q3lyvbza,yk34y2,8pneoi03z,0,card,JCB 16 digit,33,0,failed
6,andersonwilliam@yahoo.com,3alf9irw,28v6b0,8pneoi03z,0,card,JCB 16 digit,24,1,fulfilled
7,andersonwilliam@yahoo.com,69w9wymx,28v6b0,8pneoi03z,0,card,JCB 16 digit,24,0,fulfilled
8,andersonwilliam@yahoo.com,pegqc4ud,itnk8y,dluy3jka0,0,card,Discover,25,1,fulfilled
9,andersonwilliam@yahoo.com,uo3slwh7,itnk8y,8pneoi03z,0,card,JCB 16 digit,25,0,fulfilled
10,rubenjuarez@yahoo.com,vx4cjc27,fbz9ep,pdxjdwui4,0,card,Voyager,34,0,fulfilled
11,rubenjuarez@yahoo.com,yiay9b0n,7odnn6,pdxjdwui4,0,card,Voyager,26,0,fulfilled
12,rubenjuarez@yahoo.com,sn3v0ql2,audx7o,pdxjdwui4,0,card,Voyager,25,0,fulfilled
13,uchen@malone.com,q8j3dgni,56h7iw,olr4zf09x,0,card,VISA 13 digit,71,0,fulfilled
14,uchen@malone.com,xjulqy8x,kowj1v,gehl28i8u,0,card,JCB 16 digit,66,1,fulfilled
15,uchen@malone.com,rvm65vr1,wlznfu,gehl28i8u,0,card,JCB 16 digit,69,0,failed
